⺁	px
⺄	yi
⺈	dk
⺋	ee
⺌	xc
⺗	xn
⺧	nq
⺻	yv
⺼	or kd pd
⻊	zu
⻗	yu
〇	aa
の	aa
㐀	aa
㐁	aa ak
㐂	qq
㐃	sa
㐄	aa fg
㐅	pd ia
㐆	pg
㐌	ry
㐎	wy
㐖	jg
㐜	qj
㐡	jr
㐤	jv
㐧	dp
㐨	yy
㐩	jj
㐪	wd
㐫	wx
㐬	wi
㐭	wh
㐮	wd
㐯	wx
㐰	rk
㐱	rp
㐲	rd
㐳	rw
㐴	rx
㐵	ry
㐶	rs
㐷	rm
㐸	rq
㐹	rq
㐺	rr
㐻	rn
㐼	ru
㐽	rf
㐾	ry
㑀	rt
㑁	ri
㑂	rb
㑃	ry
㑄	rm
㑅	ra ru
㑆	rx
㑇	ri
㑈	rd
㑉	rs
㑊	ry
㑋	rq
㑌	rk
㑍	rl
㑎	ru
㑏	ru
㑐	ru
㑑	rz
㑒	rd
㑓	ry
㑔	ry
㑕	rs
㑖	rv
㑗	ru
㑘	rj
㑙	rg
㑚	rn
㑛	ru
㑜	rv
㑝	rn
㑞	rc
㑟	rb
㑠	rj
㑡	rj
㑢	rq
㑣	rl
㑤	rm
㑥	ry
㑦	rl
㑧	rj
㑨	ru
㑩	rl
㑪	rq
㑫	rn
㑬	rg
㑭	rc
㑮	rj
㑯	ry
㑰	rt ru
㑱	rr
㑲	rn
㑳	ri
㑴	ry
㑵	rj
㑶	rq
㑷	rn
㑸	rk
㑹	ro
㑺	rj
㑻	rm
㑼	rl
㑽	rt
㑾	ry
㑿	ri
㒀	rd
㒁	ry
㒂	rv
㒃	re
㒄	rr
㒅	ri
㒆	ry
㒇	rw
㒈	rg
㒉	rt
㒊	rs
㒋	rs
㒌	rq
㒍	rl rs
㒎	rf rz
㒏	rh
㒐	rs
㒑	rh
㒒	ry
㒓	rd
㒔	ru
㒕	ry
㒖	rw
㒗	rv rt
㒘	ru
㒙	rm
㒚	rx ry
㒛	rd rv
㒜	ry
㒝	rm
㒞	rj rg
㒟	rn
㒠	rj
㒡	ry
㒢	ry rc
