變徵	变徵
角徵	角徵
老態龍鍾	老态龙钟 老态龙锺
肘手鍊足	肘手链足
茵藉	茵借
萬鍾	万锺
蒜薹	蒜薹
袖裏乾坤	袖里乾坤
計畫	计划
踅門瞭戶	踅门了户
躪藉	躏借
憑藉	凭借
情有獨鍾	情有独钟 情有独锺
據瞭解	据了解
書中自有千鍾粟	书中自有千锺粟
樊於期	樊於期
滑藉	滑借
酒逢知己千鍾少	酒逢知己千锺少
郭子乾	郭子乾
醞藉	酝借
鈞覆	钧复
銀鍊	银链
錢鍾書	钱锺书
鎖鍊	锁链
鐵鍊	铁链
鑽石項鍊	钻石项链
露覆	露复
麼些族	麽些族
黄鍾公	黄锺公
龍鍾	龙钟 龙锺
二噁英	二𫫇英
侔德覆載	侔德复载
幺麼	幺麽
八濛山	八濛山
千鍾粟	千锺粟
名覆金甌	名复金瓯
哪吒	哪吒
回覆	回复
壺裏乾坤	壶里乾坤
大目乾連冥間救母變文	大目乾连冥间救母变文
宫商角徵羽	宫商角徵羽
康乾	康乾
張法乾	张法乾
無序	无序
狐藉虎威	狐借虎威
珍珠項鍊	珍珠项链
畢昇	毕昇
發覆	发复
示覆	示复
神祇	神祇
稟覆	禀复
竺乾	竺乾
答覆	答复
篤麼	笃麽
簡單明瞭	简单明了
籌畫	筹划
素藉	素借
見覆	见复
蕓薹	芸薹
蕩覆	荡复
蕭乾	萧乾
衹見樹木	只见树木
衹得	只得
角徵羽	角徵羽
貂覆額	貂复额
買臣覆水	买臣复水
文錦覆阱	文锦复阱
沈沒	沉没
沈積	沉积
沈船	沉船
沈默	沉默
李乾德	李乾德
李澤鉅	李泽钜
手鍊	手链
扭轉乾坤	扭转乾坤
找藉口	找借口
拉鍊	拉链
拜覆	拜复
旋轉乾坤	旋转乾坤
旋乾轉坤	旋乾转坤
有序	有序
朝乾夕惕	朝乾夕惕
木吒	木吒
憑藉着	凭借着
明瞭	明了
明覆	明复
流徵	流徵
浪蕩乾坤	浪荡乾坤
鍛鍾	锻锺
鉸鍊	铰链
重覆	重复
雁杳魚沈	雁杳鱼沉
雖覆能復	虽覆能复
電覆	电复
項鍊	项链
頗覆	颇复
頸鍊	颈链
顧藉	顾借
酒逢知己千鍾少話不投機半句多	酒逢知己千锺少话不投机半句多
一目瞭然	一目了然
上鍊	上链
不瞭解	不了解
以免藉口	以免借口
以功覆過	以功复过
徵弦	徵弦
徵音	徵音
反覆	反复
反反覆覆	反反复复
凌藉	凌借
出醜狼藉	出丑狼藉
函覆	函复
傢俱	家具
傷亡枕藉	伤亡枕藉
尼乾陀	尼乾陀
彷彿	仿佛
彷徨	彷徨
瞭如	了如
瞭然	了然
瞭望	瞭望
牴牾	抵牾
牴觸	抵触
甚鉅	甚钜
申覆	申复
藉故	借故
藉此	借此
藉手	借手
藉據	借据
藉方	借方
藉條	借条
藉槁	借槁
藉機	借机
藉助	借助
藉寇兵	借寇兵
藉卉	借卉
藉口	借口
藉喻	借喻
藉端	借端
藉着	借着
藉箸代籌	借箸代筹
藉藉	藉藉
藉草枕塊	借草枕块
藉詞	借词
藉讀	借读
藉資	借资
藉代	借代
藉以	借以
衹見樹木不見森林	只见树木不见森林
變徵之聲	变徵之声
變徵之音	变徵之音
於菟	於菟
沈沒成本	沉没成本
李鍊福	李链福
李鍾郁	李锺郁
拉鍊工程	拉链工程
旋轉乾坤之力	旋转乾坤之力
鍊條	链条
鍾繇	钟繇 锺繇
鍾萬梅	锺万梅
鉅子	钜子
鉅萬	钜万
鉅防	钜防
金吒	金吒
金鍊	金链
顛乾倒坤	颠乾倒坤
顛倒乾坤	颠倒乾坤
乾象	乾象
么麼	幺麽
么麽	幺麽
徵絃	徵弦
徵羽摩柯	徵羽摩柯
徵聲	徵声
徵調	徵调
幺麼小丑	幺麽小丑
幺麼小醜	幺麽小丑
瞭解	了解
瞭若指掌	了若指掌
瞭如指掌	了如指掌
瞭然於心	了然于心
藉故推辭	借故推辞
藉此機會	借此机会
藉助於	借助于
藉寇兵齎盜糧	借寇兵赍盗粮
藉甚	借甚
藉由	借由
藉端生事	借端生事
藉藉无名	藉藉无名
覆逆	复逆
覆電	复电
覆露	复露
覆鼎	复鼎
覆冒	复冒
覆墓	复墓
覆宗	复宗
覆帳	复帐
覆幬	复帱
覆成	复成
覆按	复按
覆文	复文
覆杯	复杯
覆校	复校
覆瓿	复瓿
覆上	复上
覆住	复住
覆信	复信
覆育	复育
覆蕉尋鹿	复蕉寻鹿
於倫	於伦
於其一	於其一
於則	於则
於勇明	於勇明
於呼哀哉	於呼哀哉
於單	於单
於坦	於坦
於崇文	於崇文
於忠祥	於忠祥
於惟一	於惟一
